census_tract,population_density
36047116400,46717.72718
36047116600,56612.8251
36047116800,40894.73675
36047117000,33240.16353
36047117201,52178.36396
36047117202,72775.28163
36047117400,52697.97391
36047117601,46918.84061
36047117602,62894.99994
36047117800,33526.63736
36047118000,24.12160111
36047118201,68547.47609
36047118202,68225.55781
36047118400,68672.39242
36047118600,61968.78434
36047118800,76581.51425
36047119000,40834.05678
36047119200,41771.77644
36047119400,61193.86877
36047119600,54580.33123
36047119800,29282.67911
36047120000,49432.57129
36047120200,33370.72587
36047120801,51226.39332
36047120802,83244.56725
36047120803,33534.1558
36047121000,60185.59827
36047121400,61255.87411
36047122000,14653.16564
36047123700,69198.52181
36047150200,21219.83554
36047152200,21836.73298
36061000100,0
36061000201,57751.10942
36061000202,60698.14478
36061000500,15.34502167
36061000600,125143.7177
36061000700,107821.9852
36061000800,127570.1812
36061000900,17469.58977
36061001001,57104.28604
36061001002,81713.72969
36061001200,81094.84223
36061001300,44105.95675
36061001401,98137.29195
36061001402,77708.73406
36061001501,80192.34517
36061001502,128734.0415
36061001600,96140.57037
36061001800,92162.70246
36061002000,95329.93525
36061002100,85277.92246
36061002201,111646.2526
36061002202,114847.9743
36061002400,64175.83902
36061002500,91179.42502
36061002601,88142.67911
36061002602,120293.7787
36061002700,59854.31598
36061002800,96179.88832
36061002901,19569.31404
36061002902,91171.42608
36061003001,97278.40551
36061003002,100094.402
36061003100,37768.99986
36061003200,99610.34691
36061003300,48953.08289
36061003400,113324.1971
36061003601,91157.65483
36061003602,87292.17737
36061003700,20888.57996
36061003800,116080.403
36061003900,55042.87759
36061004001,105669.4326
36061004002,152244.9091
36061004100,101864.719
36061004200,157882.5399
36061004300,72160.56194
36061004400,108788.946
36061004500,26973.90026
36061004700,41397.22084
36061004800,102486.6812
36061004900,59678.2367
36061005000,81261.41999
36061005200,58395.99216
36061005400,75698.54007
36061005501,94985.8593
36061005502,43866.93216
36061005600,63567.37066
36061005700,71864.87384
36061005800,75756.13699
36061005900,127232.096
36061006000,115189.9357
36061006100,100081.5462
36061006200,32525.07774
36061006300,97487.20181
36061006400,126381.771
36061006500,86548.844
36061006600,182957.5043
36061006700,85270.70052
36061006800,114411.7741
36061006900,32879.07809
36061007001,131333.7427
36061007002,143830.7359
36061007100,91844.21406
36061007200,138485.8881
36061007300,96831.35312
36061007400,84773.25228
36061007500,62510.26959
36061007600,43410.69206
36061007700,89703.57812
36061007800,132933.2786
36061007900,41957.12174
36061008000,88610.45919
36061008100,116687.2767
36061008200,51288.67601
36061008300,57299.82983
36061008400,29705.98774
36061008601,100280.93
36061008602,0
36061008603,118473.0124
36061008700,101913.1778
36061008800,127898.5015
36061008900,93180.00287
36061009000,130910.8053
36061009100,106464.0122
36061009200,24529.71282
36061009300,134850.7702
36061009400,1848.126347
36061009500,58618.27648
36061009600,8981.421913
36061009700,75947.50075
36061009800,118164.9021
36061009901,13851.05255
36061009902,53164.23501
36061009903,14662.94816
36061010000,32507.05033
36061010100,38306.79608
36061010200,4239.472292
36061010300,60790.52239
36061010400,14696.98207
36061010601,175328.9296
36061010602,113761.5861
36061010801,120608.3309
36061010802,171685.2379
36061010803,128359.1178
