station_index_id,station_name,ridership_in_2019,latitude,longitude
314,Kingston-Throop Aves,2055094,40.679919,-73.940859
315,Kingston Ave,1472802,40.66948145,-73.94215978
316,Knickerbocker Ave,1544093,40.69866,-73.91972
317,Kosciuszko St,1779062,40.693172,-73.928509
318,Lafayette Ave,1599887,40.686113,-73.973946
319,Lexington Ave/51st St,18957465,40.75728765,-73.97049619
320,Lexington Ave/59th St,16760813,40.76261743,-73.96767101
321,Lexington Ave/63rd St,6567634,40.76461809,-73.96608964
322,Liberty Ave,833633,40.674542,-73.896548
323,Livonia Ave,856615,40.66405727,-73.90056237
324,Longwood Ave,949680,40.816104,-73.896435
325,Lorimer St,1747990,40.703844,-73.947355
326,Marble Hill-225th St,1561844,40.874561,-73.909831
327,Marcy Ave,4717791,40.708383,-73.957832
328,Metropolitan Ave/Lorimer St,4696924,40.713423,-73.950836
329,Mets-Willets Point,2025162,40.754622,-73.845625
330,Middle Village-Metropolitan Ave,1090449,40.71143131,-73.88957723
331,Middletown Rd,597839,40.843863,-73.836322
332,Montrose Ave,1933886,40.70739106,-73.93979285
333,Morgan Ave,2100475,40.70615167,-73.933147
334,Morris Park,711229,40.854364,-73.860495
335,Morrison Ave-Soundview,1970185,40.829521,-73.874516
336,Mosholu Pkwy,2491758,40.87975,-73.884655
337,Mt Eden Ave,1551038,40.844434,-73.914685
338,Myrtle-Willoughby Aves,1820637,40.694619,-73.949067
339,Myrtle-Wyckoff Aves,5927332,40.69946253,-73.91157736
340,Myrtle Ave,3854024,40.697195,-73.935623
341,Nassau Ave,3136229,40.72448,-73.951183
342,Neck Rd,1362524,40.59532169,-73.95507827
343,Neptune Ave,428163,40.58073876,-73.97459273
344,Nereid Ave,1006617,40.89828652,-73.85431531
345,Nevins St,3150597,40.68831058,-73.9804068
346,New Lots Ave,1643487,40.66631493,-73.88411071
347,New Lots Ave,1254351,40.65891477,-73.89927796
348,Newkirk Ave,2131839,40.63999124,-73.94829991
349,Newkirk Plaza,3252504,40.63514194,-73.96269487
350,Northern Blvd,2008091,40.75282483,-73.90606508
351,Norwood-205th St,2639003,40.874811,-73.878855
352,Norwood Ave,948571,40.68152,-73.879626
353,Nostrand Ave,1370372,40.66993815,-73.95042625
354,Nostrand Ave,5608232,40.680438,-73.950426
355,Ocean Pkwy,1033340,40.57631167,-73.968501
356,Ozone Park-Lefferts Blvd,2216647,40.685951,-73.825798
357,Park Pl,519984,40.67477167,-73.957624
358,Parkchester,4734709,40.833226,-73.860816
359,Parkside Ave,1955051,40.65507304,-73.96145344
360,Parsons Blvd,2086114,40.707572,-73.803289
361,Pelham Bay Park,2134403,40.852462,-73.828121
363,Pelham Pkwy,2651208,40.85719241,-73.86748068
362,Pelham Pkwy,896134,40.858985,-73.855359
364,Pennsylvania Ave,1360708,40.66471445,-73.89488591
365,President St,1037219,40.6678836,-73.9505892
366,Prince St,4342692,40.72432867,-73.997702
367,Prospect Ave,2148059,40.81948726,-73.90177779
368,Prospect Ave,1780893,40.66541367,-73.992872
369,Prospect Park,3323334,40.66163346,-73.9620313
370,Queens Plaza,4334290,40.74891772,-73.93713824
371,Queensboro Plaza,5018211,40.75063565,-73.94016354
372,Ralph Ave,1829126,40.678822,-73.920786
373,Rector St,2554523,40.707513,-74.013783
374,Rector St,2014996,40.70774476,-74.01297456
375,Rockaway Ave,1451431,40.66261749,-73.90895834
376,Rockaway Ave,1787343,40.67834,-73.911946
377,Rockaway Blvd,2299903,40.680429,-73.843853
378,Rockaway Park-Beach 116th St,228144,40.58095587,-73.83559009
379,Roosevelt Island,2380764,40.759172,-73.953235
380,Saratoga Ave,1556357,40.66152979,-73.91633025
381,Seneca Ave,1080829,40.702919,-73.907582
382,Sheepshead Bay,4169796,40.58654755,-73.95405791
383,Shepherd Ave,977012,40.67413,-73.88075
384,Simpson St,2602749,40.82397684,-73.8930664
385,Smith-9th Sts,1435824,40.67364106,-73.99589173
